date,product,region,sales_amount,quantity
2024-01-15,Laptop,North,1200.00,2
2024-01-20,Mouse,South,25.50,15
2024-02-10,Keyboard,East,75.00,8
2024-02-28,Monitor,West,300.00,4
2024-03-05,Laptop,North,1200.00,2
2024-03-15,Headphones,South,150.00,6
2024-04-12,Mouse,East,25.50,12
2024-04-22,Laptop,West,1200.00,2
2024-05-08,Monitor,North,300.00,3
2024-05-18,Keyboard,South,75.00,5
2024-06-03,Headphones,East,150.00,8
2024-06-25,Laptop,West,1200.00,1
2024-07-10,Mouse,North,25.50,20
2024-07-30,Monitor,South,300.00,2
2024-08-15,Keyboard,East,75.00,10
2024-08-28,Laptop,West,1200.00,3
2024-09-12,Headphones,North,150.00,4
2024-09-25,Mouse,South,25.50,18
2024-10-08,Monitor,East,300.00,5
2024-10-20,Laptop,West,1200.00,2
2024-11-15,Keyboard,North,75.00,7
2024-11-28,Headphones,South,150.00,9
2024-12-10,Mouse,East,25.50,25
2024-12-22,Monitor,West,300.00,6 